Date,Start (ET),Visitor,Visitor Points,Home,Home Points,Arena,Box Score Link
"Wed, Nov 8, 2023",8:00p,Detroit Pistons,118,Milwaukee Bucks,120,Fiserv Forum,/boxscores/202311080MIL.html
"Wed, Nov 8, 2023",8:00p,New Orleans Pelicans,101,Minnesota Timberwolves,122,Target Center,/boxscores/202311080MIN.html
"Wed, Nov 8, 2023",8:00p,Cleveland Cavaliers,120,Oklahoma City Thunder,128,Paycom Center,/boxscores/202311080OKC.html
"Wed, Nov 8, 2023",8:30p,Toronto Raptors,127,Dallas Mavericks,116,American Airlines Center,/boxscores/202311080DAL.html
"Wed, Nov 8, 2023",10:00p,Golden State Warriors,105,Denver Nuggets,108,Ball Arena,/boxscores/202311080DEN.html
"Wed, Nov 8, 2023",10:00p,Portland Trail Blazers,118,Sacramento Kings,121,Golden 1 Center,/boxscores/202311080SAC.html
"Thu, Nov 9, 2023",7:00p,Milwaukee Bucks,124,Indiana Pacers,126,Gainbridge Fieldhouse,/boxscores/202311090IND.html
"Thu, Nov 9, 2023",9:30p,Atlanta Hawks,120,Orlando Magic,119,Mexico City Arena,/boxscores/202311090ORL.html
"Fri, Nov 10, 2023",7:00p,Philadelphia 76ers,114,Detroit Pistons,106,Little Caesars Arena,/boxscores/202311100DET.html
"Fri, Nov 10, 2023",7:00p,Charlotte Hornets,124,Washington Wizards,117,Capital One Arena,/boxscores/202311100WAS.html
"Fri, Nov 10, 2023",7:30p,Brooklyn Nets,107,Boston Celtics,121,TD Garden,/boxscores/202311100BOS.html
"Fri, Nov 10, 2023",8:00p,New Orleans Pelicans,101,Houston Rockets,104,Toyota Center,/boxscores/202311100HOU.html
"Fri, Nov 10, 2023",8:00p,Utah Jazz,127,Memphis Grizzlies,121,FedEx Forum,/boxscores/202311100MEM.html
"Fri, Nov 10, 2023",8:00p,Minnesota Timberwolves,117,San Antonio Spurs,110,Frost Bank Center,/boxscores/202311100SAS.html
"Fri, Nov 10, 2023",8:30p,Los Angeles Clippers,126,Dallas Mavericks,144,American Airlines Center,/boxscores/202311100DAL.html
"Fri, Nov 10, 2023",10:00p,Los Angeles Lakers,122,Phoenix Suns,119,Footprint Center,/boxscores/202311100PHO.html
"Fri, Nov 10, 2023",10:00p,Oklahoma City Thunder,98,Sacramento Kings,105,Golden 1 Center,/boxscores/202311100SAC.html
